Time (ms),Px,Py,Pz,Confidence
23591,-1.37,28.24,1.3,92
23783,-1.39,28.25,1.23,92
23912,-1.42,28.22,1.16,88
25905,-1.44,28.24,1.39,86
26097,-1.32,28.16,1.66,65
26219,-1.21,28.1,1.87,62
26296,-1.26,27.97,1.67,60
26418,-0.93,28.19,1.81,97
26610,-1.04,28.01,1.83,64
27584,-1.05,27.89,1.93,76
27706,-1.08,27.72,1.91,90
27776,-1.05,27.58,2.04,85
27905,-1.03,27.5,2.12,83
28027,-1.03,27.44,2.17,85
28097,-1.02,27.38,2.2,87
28226,-0.97,27.33,2.24,85
28296,-0.97,27.24,2.2,94
28418,-0.99,27.12,2.01,89
28495,-0.92,27.05,2.06,94
28617,-0.85,27.01,2.17,85
28687,-0.91,26.9,2.04,89
28809,-0.93,26.76,2.04,90
28886,-0.94,26.63,2.06,90
29008,-0.98,26.5,2.02,88
29399,-1.01,25.96,1.56,77
29528,-1,25.78,1.52,70
29598,-0.92,25.72,1.66,81
29720,-0.9,25.64,1.71,79
29790,-0.94,25.53,1.65,72
29919,-0.97,25.43,1.64,74
29989,-0.92,25.28,1.66,64
30111,-0.93,25.18,1.66,69
30188,-0.91,25.12,1.68,68
30310,-0.87,24.96,1.62,64
30380,-0.88,24.88,1.6,61
30509,-0.91,24.8,1.53,59
30631,-0.88,24.68,1.55,56
30701,-0.84,24.51,1.41,63
30823,-0.83,24.41,1.67,84
30900,-0.82,24.27,1.69,79
31022,-0.81,24.17,1.71,79
31092,-0.88,24.02,1.5,62
31221,-0.89,23.87,1.38,67
31291,-0.85,23.77,1.64,82
31413,-0.8,23.67,1.64,83
31612,-0.85,23.57,1.57,50
31690,-0.9,23.47,1.45,70
31812,-0.89,23.34,1.44,79
31889,-0.88,23.17,1.43,79
32011,-1.04,23.08,1.12,84
32081,-1.04,22.91,1,59
32210,-1,22.78,1.04,72
32402,-1.2,22.72,0.86,86
32601,-1.23,22.7,0.81,57
33114,-1.15,22.27,0.9,51
33184,-1.11,22,0.93,62
33306,-1.11,21.87,0.94,58
33435,-1.05,21.63,1.01,67
33505,-0.98,21.43,1.06,68
33627,-0.78,21.09,1.56,93
34088,-0.79,20.91,1.43,67
34357,-0.76,20.63,1.42,76
34479,-0.81,20.5,1.16,56
34549,-0.61,20.11,1.56,95
34678,-0.47,19.86,1.81,96
34766,-0.56,19.93,2.03,95
35157,-0.52,19.72,1.54,74
35471,-0.59,19.47,1.17,55
35663,-0.69,19.12,0.96,84
35792,-0.7,18.87,1.03,95
35862,-0.74,18.7,0.92,93
35984,-0.76,18.61,0.77,91
36054,-0.76,18.43,0.65,89
36183,-0.76,18.27,0.63,54
36253,-0.75,18.05,0.76,55
36375,-0.75,17.84,0.84,68
36696,-0.76,17.63,0.82,78
36766,-0.73,17.45,0.83,70
36888,-0.73,17.27,0.88,57
36965,-0.72,17.13,0.92,73
37087,-0.69,16.98,0.94,75
37157,-0.62,16.86,0.92,74
37286,-0.57,16.72,0.96,73
37356,-0.53,16.6,0.97,73
37478,-0.51,16.5,0.93,74
37607,-0.53,16.37,0.96,66
37677,-0.55,16.32,0.99,58
37799,-0.49,16.18,1.14,56
37876,-0.54,16.01,1.17,86
37998,-0.55,15.86,1.2,87
38068,-0.54,15.78,1.13,62
38190,-0.55,15.69,1.07,59
38267,-0.53,15.61,1.04,57
38389,-0.53,15.51,1.02,55
38459,-0.51,15.4,1,50
38588,-0.51,15.31,0.96,50
38658,-0.51,15.21,0.96,42
0.38857,-0.52,15,0.95,34
38979,-0.54,14.89,0.95,28
39081,-0.56,14.81,0.94,32
39158,-0.58,14.72,0.97,28
39280,-0.63,14.65,0.98,37
39402,-0.67,14.48,1.03,34
39479,-0.7,14.35,1.08,33
39601,-0.72,14.28,1.09,35
39671,-0.69,14.16,1.06,35
39793,-0.66,14.03,1.05,44
39870,-0.67,13.95,1.01,42
